GENE1	100001	7.642522	-0.5024211	-1.959635	10.12979	-10.77004	-4.470359	-7.656126	7.586273
GENE2	100002	38.10829	4.865753	7.872453	-13.5974	-9.795562	-13.46586	-8.91639	-5.071275
GENE3	100003	21.1568	5.969493	3.206486	-4.740982	-3.706243	-12.351	-10.17143	0.6368744
GENE4	100004	187.2196	-23.81263	16.76769	14.10865	-99.76355	-89.11456	-10.92405	5.518813
GENE5	100005	64.13496	53.61203	1.973589	81.48958	-61.06254	-55.00312	-21.55549	-63.58901
GENE6	100006	43.25011	39.58808	-1.320471	-9.796679	-38.74091	-48.07248	3.765158	11.32719
GENE7	100007	38.7908	191.5082	-106.5649	-13.98387	-35.70397	-43.70453	-34.37883	4.037136
GENE8	100008	676.8188	483.5401	109.0539	-273.0497	-482.5721	-428.147	-37.5831	-48.06087
GENE9	100009	731.028	559.3755	54.8658	-397.1791	-455.4371	-502.6522	-49.6559	59.65496
GENE10	100010	-45.03621	18.9389	-38.3608	14.38369	15.2486	-11.18041	16.28611	29.72013
GENE11	100011	9.834633	-23.2836	21.36983	-12.88933	-14.47115	-0.9091352	18.5813	1.767441
GENE12	100012	-6.238392	1.852066	-38.80982	17.21245	15.65226	10.75634	7.784335	-8.209233
GENE13	100013	-76.14403	-13.81134	-69.45073	32.95067	7.989374	77.77862	16.74748	23.93997
GENE14	100014	-9.927002	-10.88866	18.40069	-6.395207	33.53673	-24.73877	13.00964	-12.99742
GENE15	100015	-13.4207	-10.96531	17.48287	-14.57169	0.4442588	10.71309	-12.13623	22.45372
GENE16	100016	5.390542	6.5492	0.1838667	-28.6276	29.21499	7.455371	-14.92186	-5.244514
GENE17	100017	-4.374649	-9.789786	-24.06297	2.157462	15.46833	5.195613	7.346479	8.059526
GENE18	100018	4.719704	-26.8786	-46.26582	22.75123	5.88362	16.66018	22.21394	0.9157399
GENE19	100019	221.0974	886.1662	510.7216	272.3527	-661.2471	-778.3506	-225.9415	-224.7987
GENE20	100020	-20.75345	-12.13548	-12.81559	8.862412	1.872274	18.56255	2.523591	13.88369
GENE21	100021	18.6053	-132.2604	7.50856	29.29971	26.14037	26.2445	13.1474	11.31456
GENE22	100022	12.0019	8.481101	7.235629	-7.322781	9.258583	-6.475108	-7.184506	-15.99481
GENE23	100023	-8.299815	-0.2920716	-2.601112	-1.599399	-3.006587	4.697772	5.364697	5.736515
GENE24	100024	-20.66036	-15.91172	-3.7555	9.613259	-2.123528	24.12797	7.918166	0.7917104
GENE25	100025	5.482609	-14.88801	8.719134	0.3810225	7.817738	-6.837759	0.6754417	-1.350174
GENE26	100026	-3.128704	-3.249582	-13.06854	-0.7268498	-4.151077	7.03428	10.83954	6.450933
GENE27	100027	-19.01915	-35.28348	7.160289	1.936987	18.08536	16.37238	13.72294	-2.97533
GENE28	100028	14.21106	-20.6827	-8.189149	-16.95979	-6.846793	7.967645	1.797545	28.70219
GENE29	100029	-24.73685	-13.97625	0.0791839	-15.76666	1.150897	-5.144138	41.3796	17.01422
GENE30	100030	4.927898	-0.6908129	-10.02063	2.438743	-5.089521	2.785208	1.919318	3.729798
GENE31	100031	11.36581	-26.18034	-19.04583	5.198701	5.309209	-0.6722347	7.014174	17.01051
GENE32	100032	16.93436	10.48591	-3.263937	1.341326	-29.44734	-0.4176335	1.782039	2.585271
GENE33	100033	24.69746	-39.84903	36.43007	49.90762	26.5942	38.76272	30.47885	-167.0219
GENE34	100034	-5.378526	-35.88413	2.688153	25.71916	-43.76611	15.92682	22.92663	17.76799
GENE35	100035	12.56924	18.34184	20.05338	19.41931	-31.27725	-14.01422	-27.64053	2.548226
GENE36	100036	73.29357	108.5007	128.8308	114.4476	-84.29788	-103.7157	-114.0013	-123.0578
GENE37	100037	84.151	164.7429	67.78841	139.5325	-101.1017	-108.2016	-125.942	-120.9695
GENE38	100038	353.8234	347.7175	93.18719	69.15301	-191.929	-169.2878	-330.7815	-171.8827
GENE39	100039	0.5160471	-13.30436	-16.57878	-1.331018	5.429622	0.7467136	10.77722	13.74455
GENE40	100040	-3.206463	39.19152	-11.95603	-22.17155	-10.83932	-22.30889	1.98753	29.30321
GENE41	100041	25.79873	-35.06338	-29.06612	-16.98521	-36.22793	-3.718054	48.51078	46.7512
GENE42	100042	-823.9381	153.4541	-837.6195	-453.6449	1066.094	962.4684	-895.6935	828.8794
GENE43	100043	-520.8163	763.9546	-412.0517	-533.9673	664.2347	444.9588	-967.6793	561.3664
GENE44	100044	-147.0629	1811.26	680.7667	-1561.272	220.4125	540.4076	-1615.876	71.36404
GENE45	100045	614.6364	846.8957	-281.602	-99.91425	-340.1689	191.0882	-1270.966	340.0307
GENE46	100046	946.396	-470.6025	218.3399	-710.3609	629.56	-137.2531	-374.8697	-101.2097
GENE47	100047	1151.611	-866.1858	-18.18371	-675.745	-639.7375	-20.74903	704.8636	364.1259
GENE48	100048	32.38252	-0.1566255	29.08345	0.8109519	-25.29535	-21.78217	-8.709859	-6.332927
GENE49	100049	-1.932698	14.2825	29.33403	-22.67617	7.224292	-14.23505	-15.59448	3.597575
GENE50	100050	-23.31252	-8.378599	38.89272	-1.403966	-33.80273	-38.34922	-4.170519	70.52483
GENE51	100051	31.31711	5.485597	-25.76811	-13.08782	-19.83571	-15.72996	26.26457	11.35432
GENE52	100052	108.161	-28.92295	-18.40452	-30.7353	24.7686	10.80296	-2.531511	-63.13826
GENE53	100053	-35.5583	-53.99454	4.019623	9.948438	-2.223974	124.6159	-120.8193	74.0122
GENE54	100054	22.95577	158.4226	-155.8295	-15.89882	-279.367	-140.1377	261.1586	148.6961
GENE55	100055	-22.04999	-6.542293	15.39831	-12.37347	34.30704	15.28726	27.68156	-51.70841
GENE56	100056	-50.6179	18.04521	-40.78108	33.11959	13.06607	21.92249	21.77097	-16.52536
GENE57	100057	-50.07571	-30.50885	-18.57678	-29.20979	40.76191	44.18733	41.38249	2.039413
GENE58	100058	-72.15041	4.582999	2.337192	25.41026	11.8807	39.80717	-29.12069	17.25278
GENE59	100059	-10.64394	-65.19057	15.84554	15.33317	61.86936	91.98344	-13.39408	-95.80292
GENE60	100060	25.90766	1.73223	2.426537	77.99201	-62.23266	-46.1164	0.6534899	-0.3628778
GENE61	100061	-3.872016	-5.852063	-8.133167	22.11336	-11.79315	-0.5199295	6.655433	1.401535
GENE62	100062	73.32473	50.98455	11.86518	145.5799	-98.78221	-75.67605	-63.64091	-43.65522
GENE63	100063	4.832922	-6.780019	-2.915644	18.94532	-9.482557	-4.583272	10.3448	-10.36155
GENE64	100064	9.72023	-38.73177	-49.55023	13.55196	11.27658	-46.9011	9.380386	91.25394
GENE65	100065	20.2117	-28.16185	-76.04502	-14.08468	-43.40305	24.47224	28.92546	88.08519
GENE66	100066	15.62239	17.43113	-15.1926	83.33081	-78.25673	-22.83153	-4.325812	4.222333
GENE67	100067	28.5804	-31.35216	-78.35482	64.76967	-67.74363	0.1452512	62.809	21.1463
GENE68	100068	11.79785	2.2753	-23.76943	20.43364	-11.72146	19.04958	-3.529678	-14.53581
GENE69	100069	37.80828	136.5053	-61.13884	-58.17996	9.36274	-64.57673	33.62286	-33.4036
